年月,序号,经纪机构,发布套数,签约套数,退房套数
2025-12,1,北京链家置地房地产经纪有限公司,-1,8695,150
2025-12,2,北京我爱我家房地产经纪有限公司,-1,1926,58
2025-12,3,北京金色时光房地产经纪有限公司,-1,409,16
2025-12,4,北京我爱我家华熙房地产经纪有限公司,-1,353,10
2025-12,5,北京麦田房产经纪有限公司,-1,325,4
2025-12,6,北京市易合房地产经纪有限责任公司,-1,110,2
2025-12,7,汇石凯岩（北京）停车管理有限公司,-1,98,0
2025-12,8,北京市兴商房地产经纪中心有限公司,-1,84,1
2025-12,9,北京金城阜业房地产经纪有限公司,-1,73,1
2025-12,10,北京优居优住科技有限公司,-1,70,7
2026-01,1,北京链家置地房地产经纪有限公司,-1,7328,192
2026-01,2,北京我爱我家房地产经纪有限公司,-1,1886,76
2026-01,3,北京金色时光房地产经纪有限公司,-1,411,15
2026-01,4,北京我爱我家华熙房地产经纪有限公司,-1,372,4
2026-01,5,北京麦田房产经纪有限公司,-1,357,2
2026-01,6,北京市易合房地产经纪有限责任公司,-1,112,1
2026-01,7,北京金城阜业房地产经纪有限公司,-1,91,3
2026-01,8,北京市兴商房地产经纪中心有限公司,-1,77,0
2026-01,9,北京优居优住科技有限公司,-1,55,8
2026-01,10,京安驰（北京）房地产经纪有限公司,-1,50,8
2026-02,1,北京链家置地房地产经纪有限公司,-1,3968,67
2026-02,2,北京我爱我家房地产经纪有限公司,-1,860,27
2026-02,3,北京我爱我家华熙房地产经纪有限公司,-1,191,4
2026-02,4,北京金色时光房地产经纪有限公司,-1,183,7
2026-02,5,北京麦田房产经纪有限公司,-1,167,2
2026-02,6,北京市易合房地产经纪有限责任公司,-1,54,0
2026-02,7,汇石凯岩（北京）停车管理有限公司,-1,45,0
2026-02,8,北京金城阜业房地产经纪有限公司,-1,40,1
2026-02,9,北京市兴商房地产经纪中心有限公司,-1,36,1
2026-02,10,京安驰（北京）房地产经纪有限公司,-1,30,3
2026-03,1,北京链家置地房地产经纪有限公司,4891,10720,127
2026-03,2,北京我爱我家房地产经纪有限公司,1038,2260,55
2026-03,3,北京我爱我家华熙房地产经纪有限公司,194,527,11
2026-03,4,北京金色时光房地产经纪有限公司,199,503,17
2026-03,5,北京麦田房产经纪有限公司,197,366,9
2026-03,6,北京市易合房地产经纪有限责任公司,37,153,4
2026-03,7,北京金城阜业房地产经纪有限公司,35,123,0
2026-03,8,北京市兴商房地产经纪中心有限公司,43,117,2
2026-03,9,祥云汇（北京）房地产经纪有限公司,66,92,15
2026-03,10,北京吉永达房地产经纪有限公司,20,64,0
2026-04,1,北京链家置地房地产经纪有限公司,3695,8421,154
2026-04,2,北京我爱我家房地产经纪有限公司,995,2196,77
2026-04,3,北京金色时光房地产经纪有限公司,232,542,15
2026-04,4,北京我爱我家华熙房地产经纪有限公司,202,484,11
2026-04,5,北京麦田房产经纪有限公司,213,390,2
2026-04,6,北京市易合房地产经纪有限责任公司,56,138,0
2026-04,7,北京市兴商房地产经纪中心有限公司,60,132,1
2026-04,8,北京金城阜业房地产经纪有限公司,41,128,3
2026-04,9,北京吉永达房地产经纪有限公司,22,64,2
2026-04,10,北京金色时光怀盛房地产经纪有限公司,24,56,2
