年月,面积区间,发布套数,发布面积,成交套数,成交面积
2025-12,100～120m2,-1.0,-1.0,1678,181941.66
2025-12,120～140m2,-1.0,-1.0,1135,147156.61
2025-12,140m2以上,-1.0,-1.0,1798,381000.64
2025-12,60m2以下,-1.0,-1.0,5824,264050.14
2025-12,60～80m2,-1.0,-1.0,4543,314581.97
2025-12,80～100m2,-1.0,-1.0,4154,370361.38
2026-01,100～120m2,-1.0,-1.0,1495,162374.23
2026-01,120～140m2,-1.0,-1.0,951,123458.2
2026-01,140m2以上,-1.0,-1.0,1474,323736.05
2026-01,60m2以下,-1.0,-1.0,5204,236204.69
2026-01,60～80m2,-1.0,-1.0,4113,284030.64
2026-01,80～100m2,-1.0,-1.0,3675,327044.69
2026-02,100～120m2,-1.0,-1.0,791,86075.43
2026-02,120～140m2,-1.0,-1.0,550,71435.17
2026-02,140m2以上,-1.0,-1.0,743,157368.95
2026-02,60m2以下,-1.0,-1.0,2828,127669.45
2026-02,60～80m2,-1.0,-1.0,2200,152566.26
2026-02,80～100m2,-1.0,-1.0,1999,177844.6
2026-03,100～120m2,-1.0,-1.0,1897,206555.9
2026-03,120～140m2,-1.0,-1.0,1190,154078.12
2026-03,140m2以上,-1.0,-1.0,1702,356263.87
2026-03,60m2以下,-1.0,-1.0,6520,297722.38
2026-03,60～80m2,-1.0,-1.0,5493,378666.42
2026-03,80～100m2,-1.0,-1.0,5020,446959.47
2026-05,100～120m2,-1.0,-1.0,1580,171665.51
2026-05,120～140m2,-1.0,-1.0,1073,138937.63
2026-05,140m2以上,-1.0,-1.0,1589,332376.52
2026-05,60m2以下,-1.0,-1.0,5197,236483.51
2026-05,60～80m2,-1.0,-1.0,4245,293302.0
2026-05,80～100m2,-1.0,-1.0,4188,372634.89
2026-06,60m2以下,-1.0,-1.0,5466,247773.28
2026-06,60～80m2,-1.0,-1.0,4456,308978.91
2026-06,80～100m2,-1.0,-1.0,4344,386586.4
2026-06,100～120m2,-1.0,-1.0,1620,176450.24
2026-06,120～140m2,-1.0,-1.0,1117,144489.67
2026-06,140m2以上,-1.0,-1.0,1754,375178.9
2026-07,60m2以下,1179.0,55468.91,4785,214702.71
2026-07,60～80m2,1164.0,81338.93,3711,257548.03
2026-07,80～100m2,1267.0,113255.49,3624,323436.09
2026-07,100～120m2,537.0,58431.37,1405,152331.9
2026-07,120～140m2,349.0,45094.73,954,123408.2
2026-07,140m2以上,518.0,105757.27,1431,308144.48
2026-08,60m2以下,1059,51018.12,4688,213221.03
2026-08,60～80m2,1070,74522.28,3754,260038.08
2026-08,80～100m2,1125,100572.95,3493,311420.63
2026-08,100～120m2,484,52715.8,1460,159173.38
2026-08,120～140m2,322,41642.74,906,116949.66
2026-08,140m2以上,443,90358.11,1284,274433.31
