日期,签约套数,签约面积,住宅签约套数,住宅签约面积
2025-4-21,751,68835.18,671,62191.01
2025-4-22,698,59445.19,636,56796.04
2025-4-23,778,73796.77,690,67688.89
2025-4-24,704,62495.86,633,57543.67
2025-4-26,212,17339.14,194,16609.27
2025-4-27,826,66093.7,647,57622.35
2025-4-28,731,63755.66,638,58913.45
2025-4-29,766,66351.23,674,61717.48
2025-5-1,30,2611.92,26,2381.39
2025-5-2,17,1540.33,12,1255.81
2025-5-3,22,2054.29,21,1937.33
2025-5-4,24,2124.87,22,1871.78
2025-5-5,35,3582.62,28,3322.36
2025-5-6,542,42065.43,428,37720.79
2025-5-7,606,51196.8,532,47007.18
2025-5-8,703,61843.57,624,56686.27
2025-5-9,710,63075.23,645,59556.78
2025-5-10,220,19291.84,205,18516.17
2025-5-11,142,13421.06,130,12800.15
2025-5-12,791,72939.15,716,68942.7
2025-5-13,713,65214.94,651,62462.42
2025-5-14,792,70881.17,684,65004.9
2025-5-15,759,68362.97,690,64719.35
2025-5-16,791,72761.93,728,68924.97
2025-5-17,233,20112.8,217,19433.18
2025-5-18,148,12755.62,137,11640.32
2025-5-19,713,60259.08,644,56238.89
2025-5-20,706,62497.69,609,57393.09
2025-5-21,747,70253.38,672,64864.21
2025-5-22,733,65913.38,670,61250.6
2025-5-23,850,75627.41,778,71288.74
2025-5-24,253,23764.04,231,22587.67
2025-5-25,146,13563.58,136,12756.69
2025-5-26,772,66262.77,688,62629.65
2025-5-27,681,60217.31,605,56065.57
2025-5-28,823,73635.0,728,69201.26
2025-5-29,836,70627.96,760,66750.09
2025-5-30,1014,89721.66,927,85191.69
2025-5-31,342,29914.86,333,29362.41
2025-6-1,37,3552.91,34,3367.33
2025-6-2,31,2660.16,27,2439.94
2025-6-3,450,44108.5,384,39439.51
2025-6-4,612,53725.63,536,48940.68
2025-6-5,671,58863.66,593,53724.69
2025-6-7,221,20738.09,206,20113.38
2025-6-8,118,10982.65,108,10506.2
2025-6-9,660,57735.91,601,54836.36
2025-6-10,643,56404.23,570,52021.31
2025-6-11,741,64245.46,647,60184.19
2025-6-12,771,68379.16,678,62994.97
2025-6-13,779,73072.51,698,68065.2
2025-6-14,231,22000.79,208,20387.14
2025-6-15,126,11433.33,122,11203.97
2025-6-16,704,60112.54,609,55036.39
2025-6-17,647,59845.29,577,55714.12
2025-6-18,747,65748.09,671,61902.93
2025-6-19,747,66532.51,664,61633.98
2025-6-22,143,13097.04,137,12724.02
2025-6-23,733,64930.97,655,60384.81
2025-6-24,680,61768.13,611,57993.85
2025-6-25,758,70997.39,684,64559.47
2025-6-26,821,75300.57,750,72093.28
2025-6-29,362,33485.11,342,32461.02
2025-7-6,71,5950.54,63,5648.11
2025-7-7,587,50382.63,511,47176.86
2025-7-8,545,46235.29,452,41321.29
2025-7-9,571,53447.84,497,47536.58
2025-7-10,578,54774.39,521,49845.94
2025-7-13,81,7692.0,76,7270.39
2025-7-14,644,56032.89,556,50810.9
2025-7-20,104,9449.63,97,8891.23
2025-7-21,708,59953.44,622,56062.9
2025-7-22,540,44475.41,463,41232.79
2025-7-23,595,51153.71,538,47736.18
2025-7-24,658,59036.57,585,54643.59
2025-7-28,649,57772.07,559,52982.71
2025-7-29,547,53926.88,473,47811.92
2025-7-30,719,61756.02,644,57218.87
2025-7-31,811,70011.75,724,65324.97
2025-8-3,95,7422.01,82,6833.2
2025-8-5,507,44724.53,458,41171.64
2025-8-6,567,48022.53,505,44008.98
2025-8-7,597,51412.66,515,47341.2
2025-8-10,120,10138.78,116,9970.28
2025-8-11,681,61598.0,609,57070.39
2025-8-12,555,50922.56,496,47257.33
2025-8-13,611,52855.87,539,48518.94
2025-8-14,659,61753.12,574,54612.35
2025-8-17,112,9981.13,102,9410.03
2025-8-18,761,67752.02,663,60958.55
2025-8-19,613,54788.59,542,51164.43
2025-8-20,676,59513.73,615,55704.9
2025-8-21,678,62008.02,599,57698.55
2025-8-24,120,10476.39,112,10218.57
