年月,序号,经纪机构,签约套数,退房套数
2025-12,1,北京链家置地房地产经纪有限公司,8695,150
2025-12,2,北京我爱我家房地产经纪有限公司,1926,58
2025-12,3,北京金色时光房地产经纪有限公司,409,16
2025-12,4,北京我爱我家华熙房地产经纪有限公司,353,10
2025-12,5,北京麦田房产经纪有限公司,325,4
2025-12,6,北京市易合房地产经纪有限责任公司,110,2
2025-12,7,汇石凯岩（北京）停车管理有限公司,98,0
2025-12,8,北京市兴商房地产经纪中心有限公司,84,1
2025-12,9,北京金城阜业房地产经纪有限公司,73,1
2025-12,10,北京优居优住科技有限公司,70,7
2026-01,1,北京链家置地房地产经纪有限公司,7328,192
2026-01,2,北京我爱我家房地产经纪有限公司,1886,76
2026-01,3,北京金色时光房地产经纪有限公司,411,15
2026-01,4,北京我爱我家华熙房地产经纪有限公司,372,4
2026-01,5,北京麦田房产经纪有限公司,357,2
2026-01,6,北京市易合房地产经纪有限责任公司,112,1
2026-01,7,北京金城阜业房地产经纪有限公司,91,3
2026-01,8,北京市兴商房地产经纪中心有限公司,77,0
2026-01,9,北京优居优住科技有限公司,55,8
2026-01,10,京安驰（北京）房地产经纪有限公司,50,8
2026-02,1,北京链家置地房地产经纪有限公司,3968,67
2026-02,2,北京我爱我家房地产经纪有限公司,860,27
2026-02,3,北京我爱我家华熙房地产经纪有限公司,191,4
2026-02,4,北京金色时光房地产经纪有限公司,183,7
2026-02,5,北京麦田房产经纪有限公司,167,2
2026-02,6,北京市易合房地产经纪有限责任公司,54,0
2026-02,7,汇石凯岩（北京）停车管理有限公司,45,0
2026-02,8,北京金城阜业房地产经纪有限公司,40,1
2026-02,9,北京市兴商房地产经纪中心有限公司,36,1
2026-02,10,京安驰（北京）房地产经纪有限公司,30,3
2026-03,1,北京链家置地房地产经纪有限公司,10720,127
2026-03,2,北京我爱我家房地产经纪有限公司,2260,55
2026-03,3,北京我爱我家华熙房地产经纪有限公司,527,11
2026-03,4,北京金色时光房地产经纪有限公司,503,17
2026-03,5,北京麦田房产经纪有限公司,366,9
2026-03,6,北京市易合房地产经纪有限责任公司,153,4
2026-03,7,北京金城阜业房地产经纪有限公司,123,0
2026-03,8,北京市兴商房地产经纪中心有限公司,117,2
2026-03,9,祥云汇（北京）房地产经纪有限公司,92,15
2026-03,10,北京吉永达房地产经纪有限公司,64,0
