年月,区县,签约套数,成交面积
2025-12,全　市,19132,1659092.4000000004
2025-12,东　城,755,53740.86
2025-12,西　城,1029,67591.93
2025-12,朝　阳,4520,407002.24
2025-12,海　淀,2267,196005.42
2025-12,丰　台,1864,150332.21
2025-12,石景山,656,50162.15
2025-12,通　州,1677,141455.04
2025-12,房　山,979,78143.86
2025-12,顺　义,1063,106554.0
2025-12,门头沟,431,32317.87
2025-12,大　兴,1294,118350.02
2025-12,怀　柔,194,18619.15
2025-12,密　云,423,38423.72
2025-12,昌　平,1417,147866.89
2025-12,延　庆,171,15110.91
2025-12,平　谷,179,16138.87
2025-12,开发区,213,21277.26
2026-01,全　市,16912,1456848.5
2026-01,东　城,650,43574.4
2026-01,西　城,902,57929.88
2026-01,朝　阳,3851,347453.78
2026-01,海　淀,1817,154667.16
2026-01,丰　台,1801,145030.7
2026-01,石景山,476,34775.98
2026-01,通　州,1362,113713.53
2026-01,房　山,946,79193.78
2026-01,顺　义,900,92647.5
2026-01,门头沟,686,50135.65
2026-01,大　兴,1114,98558.17
2026-01,怀　柔,174,17624.71
2026-01,密　云,376,36924.4
2026-01,昌　平,1269,128490.59
2026-01,延　庆,180,16032.41
2026-01,平　谷,172,16374.11
2026-01,开发区,236,23721.75
2026-02,全　市,9111,772959.86
2026-02,东　城,368,26395.36
2026-02,西　城,526,33057.93
2026-02,朝　阳,2150,190029.84
2026-02,海　淀,1026,81386.12
2026-02,丰　台,951,76383.67
2026-02,石景山,276,20243.89
2026-02,通　州,651,57381.02
2026-02,房　山,477,39740.72
2026-02,顺　义,477,48649.54
2026-02,门头沟,295,21153.39
2026-02,大　兴,590,51463.36
2026-02,怀　柔,107,10798.16
2026-02,密　云,196,19915.1
2026-02,昌　平,712,67716.53
2026-02,延　庆,102,8821.44
2026-02,平　谷,108,10040.08
2026-02,开发区,99,9783.71
